kategori,mevzuat_ad?,tarih,son_degisim_tarihi,son_degisim_yontemi,resmi_link,kaynak_url
Yönerge,,-,-,Bulunamad?,https://kms.kaysis.gov.tr/Home/Goster/191643,https://detsis.gov.tr/birim/35955870/35955870/2026-05-20
Yönerge,,-,-,Bulunamad?,https://kms.kaysis.gov.tr/Home/Goster/203212,https://detsis.gov.tr/birim/35955870/35955870/2026-05-20
Yönerge,,-,-,Bulunamad?,https://kms.kaysis.gov.tr/Home/Goster/73978,https://detsis.gov.tr/birim/35955870/35955870/2026-05-20
Yönerge,,-,-,Bulunamad?,https://kms.kaysis.gov.tr/Home/Goster/200018,https://detsis.gov.tr/birim/35955870/35955870/2026-05-20
Yönerge,,-,-,Bulunamad?,https://kms.kaysis.gov.tr/Home/Goster/188072,https://detsis.gov.tr/birim/35955870/35955870/2026-05-20
Yönerge,,-,-,Bulunamad?,https://kms.kaysis.gov.tr/Home/Goster/73977,https://detsis.gov.tr/birim/35955870/35955870/2026-05-20
Yönerge,,-,-,Bulunamad?,https://kms.kaysis.gov.tr/Home/Goster/207351,https://detsis.gov.tr/birim/35955870/35955870/2026-05-20
Yönerge,,-,-,Bulunamad?,https://kms.kaysis.gov.tr/Home/Goster/159851,https://detsis.gov.tr/birim/35955870/35955870/2026-05-20
Yönerge,,-,-,Bulunamad?,https://kms.kaysis.gov.tr/Home/Goster/69583,https://detsis.gov.tr/birim/35955870/35955870/2026-05-20
Yönerge,,-,-,Bulunamad?,https://kms.kaysis.gov.tr/Home/Goster/137839,https://detsis.gov.tr/birim/35955870/35955870/2026-05-20
Yönerge,,18.03.2021,-,Bulunamad?,https://kms.kaysis.gov.tr/Home/Goster/174361,https://detsis.gov.tr/birim/35955870/35955870/2026-05-20
